class,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
1,0.155353102,0.149700584,0.124859091,0.205686966,0.258273629,0.172339488,0.259660643,0.172177128,0.257134386,0.256948464,0.241808907,0.300536844,0.208734534,0.241772264,0.096508937,0.194731279,0.168380142,0.233994499,-0.171905352,0.228277094,0.197215005,0.261208314
1,0.124467385,0.111111925,0.148832423,0.199467698,0.231834743,0.170114971,0.25621946,0.169986016,0.283225048,0.296563206,0.27278661,0.340726663,0.24103538,0.272815959,0.066132894,0.138782008,0.146144406,0.184740787,-0.114320818,0.225792741,0.167377429,0.265716624
1,0.125703664,0.103825687,0.154540301,0.229222077,0.276312778,0.210842622,0.304595745,0.210963116,0.255981482,0.241913386,0.254232313,0.308242162,0.209875884,0.254201887,0.047543907,0.159093346,0.145214088,0.197096159,-0.132050784,0.221805749,0.167013383,0.253987755
1,0.123913755,0.107629798,0.152089505,0.214563682,0.272392335,0.191803769,0.268362688,0.191668507,0.264839192,0.255798101,0.265806296,0.315446891,0.217387059,0.26577632,0.048444774,0.1567829,0.144843355,0.192874601,-0.120635409,0.234802312,0.169092902,0.277739081
1,0.107210517,0.096308947,0.131494223,0.24044463,0.289690372,0.217762816,0.303767679,0.217864654,0.269596259,0.251425096,0.276059264,0.330681617,0.223909474,0.276059603,0.055052201,0.129847711,0.120930524,0.168698302,-0.095544346,0.143390615,0.142646572,0.268761848
1,0.139391263,0.111478413,0.169185221,0.226808624,0.263612203,0.192600567,0.313943232,0.192453971,0.24681135,0.245637555,0.230406126,0.302363379,0.20348486,0.230439399,0.0476369,0.176764507,0.150661171,0.211485191,-0.135339216,0.228833887,0.167414624,0.29320623
1,0.225242728,0.188937986,0.276522507,0.126378037,0.160117922,0.10443629,0.136957051,0.104656569,0.13674268,0.122152153,0.124879649,0.130145645,0.137304151,0.124879802,0.03832694,0.333293048,0.350011242,0.317241416,-0.291104599,0.319311972,0.229916511,0.281087863
1,0.207666351,0.161902446,0.259532837,0.113699349,0.16541411,0.100233948,0.127478523,0.099997802,0.137663767,0.120784303,0.137290773,0.135741859,0.131871385,0.137290942,0.022439155,0.372071898,0.386691728,0.327370173,-0.32919742,0.235191991,0.264401965,0.224560594
1,0.156270115,0.158470011,0.192602323,0.182264691,0.279121643,0.172072287,0.196198049,0.172260943,0.155135377,0.145254645,0.149926191,0.15459823,0.152097539,0.149879799,0.058887458,0.254618656,0.315060677,0.27994041,-0.247622021,0.354015738,0.250933092,0.267925539
1,0.147643,0.137122523,0.18220513,0.167443399,0.265582201,0.149755767,0.186681008,0.149563337,0.200151781,0.184519512,0.191578699,0.198704715,0.205995886,0.19162325,0.053517445,0.242823142,0.266411099,0.274926549,-0.214751896,0.335021298,0.250098214,0.298733844
